row_id,reference,step_index,verse_text,strong,morphology,step_gloss,reviewer,decision,target_segment_index,notes
2953b70d211720829b73,GEN 6:14,9,"Hazte un arca de madera de Gopher: harás aposentos en el arca, y la embetunarás con brea por dentro y por fuera.",H853,HTo/Sp3fs,<obj.>/ it,,,,
fb02d87019746c996580,GEN 6:14,12,"Hazte un arca de madera de Gopher: harás aposentos en el arca, y la embetunarás con brea por dentro y por fuera.",H3724,HRd/Ncmsa,with <the>/ pitch,,,,
7bfaec2ffb0833617bb5,GEN 6:15,3,"Y de esta manera la harás: de trescientos codos la longitud del arca, de cincuenta codos su anchura, y de treinta codos su altura.",H853,HTo/Sp3fs,<obj.>/ it,,,,
e81c32589d183ddaa71e,GEN 6:16,3,"Una ventana harás al arca, y la acabarás a un codo de elevación por la parte de arriba: y pondrás la puerta del arca a su lado; y le harás piso bajo, segundo y tercero.",H413,HC/R,and/ to,,,,
4af76e76d6d28a7350c8,GEN 6:17,1,"Y yo, he aquí que yo traigo un diluvio de aguas sobre la tierra, para destruir toda carne en que haya espíritu de vida debajo del cielo; todo lo que hay en la tierra morirá.",H2009,HTj/Sp1bs,here/ I,,,,
9158c2475bb7b02eadfe,GEN 6:17,3,"Y yo, he aquí que yo traigo un diluvio de aguas sobre la tierra, para destruir toda carne en que haya espíritu de vida debajo del cielo; todo lo que hay en la tierra morirá.",H853,HTo,<obj.>,,,,
f1ab5d9bacbc36ea14c1,GEN 6:18,1,"Pero estableceré mi pacto contigo, y entrarás en el arca tú, y tus hijos y tu mujer, y las mujeres de tus hijos contigo.",H853,HTo,<obj.>,,,,
9c9fd3f4d985078d8c7a,GEN 6:21,6,"Y toma contigo de toda vianda que se come, y allégala a ti; servirá de alimento para ti y para ellos.",H622,Hc/Vqq2ms,and/ you will gather [it],,,,
6d953b88922447eb8762,GEN 6:21,9,"Y toma contigo de toda vianda que se come, y allégala a ti; servirá de alimento para ti y para ellos.",H402,HR/Ncfsa,<into>/ food,,,,
f8f5b0ce358f07c35bef,GEN 6:22,5,E hízolo así Noé; hizo conforme a todo lo que Dios le mandó.,H853,HTo/Sp3ms,<obj.>/ him,,,,
db880bad8f2fe97363aa,GEN 6:22,8,E hízolo así Noé; hizo conforme a todo lo que Dios le mandó.,H6213,HVqp3ms,he did,,,,
cb71bc94ff77368ee50a,GEN 7:1,10,Y Jehová dijo a Noé: Entra tú y toda tu casa en el arca; porque a ti he visto justo delante de mí en esta generación.,H853,HTo/Sp2ms,<obj.>/ you,,,,
504ff4136047fdbeab4b,GEN 7:3,11,"También de las aves de los cielos de siete en siete, macho y hembra; para guardar en vida la casta sobre la faz de toda la tierra.",H3605,HNcmsc,all,,,,
cdcbcd3ceba0718fd2df,GEN 7:4,13,"Porque pasados aún siete días, yo haré llover sobre la tierra cuarenta días y cuarenta noches; y raeré toda sustancia que hice de sobre la faz de la tierra.",H853,HTo,<obj.>,,,,
82dbe1fbca2a7d1b647f,GEN 7:7,9,"Y vino Noé, y sus hijos, y su mujer, y las mujeres de sus hijos con él al arca, por las aguas del diluvio.",H6440,HR/Ncmpc,<from>/ because of,,,,
46c7960e15662cdeb8f3,GEN 7:9,5,"De dos en dos entraron a Noé en el arca: macho y hembra, como mandó Dios a Noé.",H413,HR,into,,,,
21a3181271417ad5624e,GEN 7:9,12,"De dos en dos entraron a Noé en el arca: macho y hembra, como mandó Dios a Noé.",H853,HTo,<obj.>,,,,
7add184cc37e87401d18,GEN 7:10,5,Y sucedió que al séptimo día las aguas del diluvio fueron sobre la tierra.,H1961,HVqp3cp,they were,,,,
3ba75ac4381644585558,GEN 7:11,3,"El año seiscientos de la vida de Noé, en el mes segundo, a diecisiete días del mes, aquel día fueron rotas todas las fuentes del grande abismo, y las cataratas de los cielos fueron abiertas;",H8141,HNcfsa,year,,,,
1ed42239fcf276bfa383,GEN 7:13,3,"En este mismo día entró Noé, y Sem y Châm y Japhet, hijos de Noé, la mujer de Noé, y las tres mujeres de sus hijos con él en el arca;",H935,HVqp3ms,he went,,,,
34fbc6b0346959b39edd,GEN 7:15,3,"Y vinieron a Noé al arca, de dos en dos de toda carne en que había espíritu de vida.",H413,HR,into,,,,
5a7485e24ee0e9ff72af,GEN 7:16,8,"Y los que vinieron, macho y hembra de toda carne vinieron, como le había mandado Dios: y Jehová le cerró la puerta.",H853,HTo/Sp3ms,<obj.>/ him,,,,
b296e3a97833dd7707d1,GEN 7:17,9,"Y fue el diluvio cuarenta días sobre la tierra; y las aguas crecieron, y alzaron el arca, y se elevó sobre la tierra.",H853,HTo,<obj.>,,,,
95cb378909ff2631bbfb,GEN 7:18,6,"Y prevalecieron las aguas, y crecieron en gran manera sobre la tierra; y andaba el arca sobre la faz de las aguas.",H1980,Hc/Vqw3fs,and/ it went,,,,
5135d7fc51f5806b3ade,GEN 7:19,1,"Y las aguas prevalecieron mucho en extremo sobre la tierra; y todos los montes altos que había debajo de todos los cielos, fueron cubiertos.",H1396,HVqp3cp,they increased,,,,
586f89407e5b6ae70ebe,GEN 7:19,3,"Y las aguas prevalecieron mucho en extremo sobre la tierra; y todos los montes altos que había debajo de todos los cielos, fueron cubiertos.",H3966,HAcmsa,exceedingly,,,,
94f61413db670696e3e5,GEN 7:20,1,Quince codos en alto prevalecieron las aguas; y fueron cubiertos los montes.,H6240,HAcbsc,teen,,,,
e6d722562af95fd3e9c1,GEN 7:20,3,Quince codos en alto prevalecieron las aguas; y fueron cubiertos los montes.,H4605,HR/R/Acbsa/Sd,from/ to/ above/ <towards>,,,,
c5fa0a38ea99bc781c71,GEN 7:23,1,"Así fue destruída toda sustancia que vivía sobre la faz de la tierra, desde el hombre hasta la bestia, y los reptiles, y las aves del cielo; y fueron raídos de la tierra; y quedó solamente Noé, y lo que con él estaba en el arca.",H853,HTo,<obj.>,,,,
c8d67d74be849de55ab7,GEN 7:23,11,"Así fue destruída toda sustancia que vivía sobre la faz de la tierra, desde el hombre hasta la bestia, y los reptiles, y las aves del cielo; y fueron raídos de la tierra; y quedó solamente Noé, y lo que con él estaba en el arca.",H5704,HR,unto,,,,
97329d603ef23f76ae0c,GEN 7:23,13,"Así fue destruída toda sustancia que vivía sobre la faz de la tierra, desde el hombre hasta la bestia, y los reptiles, y las aves del cielo; y fueron raídos de la tierra; y quedó solamente Noé, y lo que con él estaba en el arca.",H5704,HC/R,and/ unto,,,,
434e54406c9b2426e95b,GEN 7:23,22,"Así fue destruída toda sustancia que vivía sobre la faz de la tierra, desde el hombre hasta la bestia, y los reptiles, y las aves del cielo; y fueron raídos de la tierra; y quedó solamente Noé, y lo que con él estaba en el arca.",H834,HC/Tr,and/ which,,,,
80364e93634b6348cb10,GEN 8:1,4,"Y acordóse Dios de Noé, y de todos los animales, y de todas las bestias que estaban con él en el arca; e hizo pasar Dios un viento sobre la tierra, y disminuyeron las aguas.",H853,HC/To,and/ <obj.>,,,,
a70c7e8d91c1fe06a750,GEN 8:1,7,"Y acordóse Dios de Noé, y de todos los animales, y de todas las bestias que estaban con él en el arca; e hizo pasar Dios un viento sobre la tierra, y disminuyeron las aguas.",H853,HC/To,and/ <obj.>,,,,
a4434b2cf2de6aedcdb2,GEN 8:1,11,"Y acordóse Dios de Noé, y de todos los animales, y de todas las bestias que estaban con él en el arca; e hizo pasar Dios un viento sobre la tierra, y disminuyeron las aguas.",H854,HRd/Sp3ms,[were] with/ him,,,,
a10d9430ee94ec661817,GEN 8:3,5,"Y tornáronse las aguas de sobre la tierra, yendo y volviendo: y decrecieron las aguas al cabo de ciento y cincuenta días.",H7725,HC/Vqaa,and/ turning back,,,,
fcad3c39408a4231a6bf,GEN 8:6,6,"Y sucedió que, al cabo de cuarenta días, abrió Noé la ventana del arca que había hecho,",H853,HTo,<obj.>,,,,
c8772ffa2b383931df8c,GEN 8:7,1,"Y envió al cuervo, el cual salió, y estuvo yendo y tornando hasta que las aguas se secaron de sobre la tierra.",H853,HTo,<obj.>,,,,
2248b3ab7864590e400b,GEN 8:8,1,"Envió también de sí a la paloma, para ver si las aguas se habían retirado de sobre la faz de la tierra;",H853,HTo,<obj.>,,,,
b82d63c324007e22669e,GEN 8:9,18,"Y no halló la paloma donde sentar la planta de su pie, y volvióse a él al arca, porque las aguas estaban aún sobre la faz de toda la tierra: entonces él extendió su mano, y cogiéndola, hízola entrar consigo en el arca.",H3947,Hc/Vqw3ms/Sp3fs,and/ he took/ it,,,,
87ce3fec72424ef2a36a,GEN 8:9,20,"Y no halló la paloma donde sentar la planta de su pie, y volvióse a él al arca, porque las aguas estaban aún sobre la faz de toda la tierra: entonces él extendió su mano, y cogiéndola, hízola entrar consigo en el arca.",H853,HTo/Sp3fs,<obj.>/ it,,,,
20b8dff87eae2a0d539f,GEN 8:10,7,"Y esperó aún otros siete días, y volvió a enviar la paloma fuera del arca.",H853,HTo,<obj.>,,,,
15538e763dddda4ebf74,GEN 8:11,1,Y la paloma volvió a él a la hora de la tarde; y he aquí que traía una hoja de oliva tomada en su pico: y entendió Noé que las aguas se habían retirado de sobre la tierra.,H413,HRd/Sp3ms,to/ him,,,,
e1b80726037e0126810f,GEN 8:11,8,Y la paloma volvió a él a la hora de la tarde; y he aquí que traía una hoja de oliva tomada en su pico: y entendió Noé que las aguas se habían retirado de sobre la tierra.,H2965,HAamsa,freshly plucked,,,,
b4898fa009164a2ff371,GEN 8:12,6,"Y esperó aún otros siete días, y envió la paloma, la cual no volvió ya más a él.",H853,HTo,<obj.>,,,,
b901d9a42d446b085f45,GEN 8:12,11,"Y esperó aún otros siete días, y envió la paloma, la cual no volvió ya más a él.",H413,HRd/Sp3ms,to/ him,,,,
55784843a0fb644a51d1,GEN 8:13,14,"Y sucedió que en el año seiscientos y uno de Noé, en el mes primero, al primero del mes, las aguas se enjugaron de sobre la tierra; y quitó Noé la cubierta del arca, y miró, y he aquí que la faz de la tierra estaba enjuta.",H853,HTo,<obj.>,,,,
b80c2fc7795383472a27,GEN 8:13,19,"Y sucedió que en el año seiscientos y uno de Noé, en el mes primero, al primero del mes, las aguas se enjugaron de sobre la tierra; y quitó Noé la cubierta del arca, y miró, y he aquí que la faz de la tierra estaba enjuta.",H2717,HVqp3cp,they were dried up,,,,
a93272c7f3fbc0d49a3b,GEN 8:15,2,Y habló Dios a Noé diciendo:,H413,HR,to,,,,
e5a1574acf48c48943f3,GEN 8:21,2,"Y percibió Jehová olor de suavidad; y dijo Jehová en su corazón: No tornaré más a maldecir la tierra por causa del hombre; porque el intento del corazón del hombre es malo desde su juventud: ni volveré más a destruir todo viviente, como he hecho.",H853,HTo,<obj.>,,,,
a294fd427c756e0e4eb3,GEN 8:21,13,"Y percibió Jehová olor de suavidad; y dijo Jehová en su corazón: No tornaré más a maldecir la tierra por causa del hombre; porque el intento del corazón del hombre es malo desde su juventud: ni volveré más a destruir todo viviente, como he hecho.",H853,HTo,<obj.>,,,,
b656a5c6cdfeda9ff1d0,GEN 8:21,15,"Y percibió Jehová olor de suavidad; y dijo Jehová en su corazón: No tornaré más a maldecir la tierra por causa del hombre; porque el intento del corazón del hombre es malo desde su juventud: ni volveré más a destruir todo viviente, como he hecho.",H5668,HR/Ncmsc,for/ sake of,,,,
4b9f76a1968132ebafc1,GEN 8:21,27,"Y percibió Jehová olor de suavidad; y dijo Jehová en su corazón: No tornaré más a maldecir la tierra por causa del hombre; porque el intento del corazón del hombre es malo desde su juventud: ni volveré más a destruir todo viviente, como he hecho.",H853,HTo,<obj.>,,,,
9077086ea0003cedc646,GEN 9:1,2,"Y bendijo Dios a Noé y a sus hijos, y díjoles: Fructifiquen, y multipliquen, y hinchan la tierra:",H853,HTo,<obj.>,,,,
f452f71c46171dfdff9e,GEN 9:1,4,"Y bendijo Dios a Noé y a sus hijos, y díjoles: Fructifiquen, y multipliquen, y hinchan la tierra:",H853,HC/To,and/ <obj.>,,,,
